Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-12-07,26.410564422607422,45.3125,45.5,45.265625,45.359375,531900,1994-12-07
1994-12-08,26.155567169189453,44.875,45.5625,44.75,45.5,261500,1994-12-08
1994-12-09,26.25575065612793,45.046875,45.078125,44.6875,44.875,235900,1994-12-09
1994-12-12,26.42880630493164,45.34375,45.34375,44.953125,44.953125,151100,1994-12-12
1994-12-13,26.528966903686523,45.515625,45.53125,45.3125,45.3125,70900,1994-12-13
1994-12-14,26.665569305419922,45.75,45.953125,45.453125,45.453125,203300,1994-12-14
1994-12-15,26.747520446777344,45.890625,46.03125,45.8125,45.8125,130100,1994-12-15
1994-12-16,26.8781681060791,45.75,45.84375,45.625,45.671875,266100,1994-12-16
1994-12-19,26.91490364074707,45.8125,45.84375,45.609375,45.75,1120200,1994-12-19
1994-12-20,26.8322811126709,45.671875,45.890625,45.671875,45.859375,675600,1994-12-20
1994-12-21,27.116846084594727,46.15625,46.265625,45.703125,45.703125,544500,1994-12-21
1994-12-22,27.03422737121582,46.015625,46.203125,45.96875,46.15625,222000,1994-12-22
1994-12-23,27.06177520751953,46.0625,46.171875,45.984375,45.984375,125800,1994-12-23
1994-12-27,27.208641052246094,46.3125,46.40625,46.1875,46.21875,95200,1994-12-27
1994-12-28,27.070947647094727,46.078125,46.359375,45.96875,46.359375,358200,1994-12-28
1994-12-29,27.08930778503418,46.109375,46.25,46.0625,46.25,220100,1994-12-29
1994-12-30,26.768024444580078,45.5625,46.25,45.5625,46.203125,2209500,1994-12-30
1995-01-03,26.896549224853516,45.78125,45.84375,45.6875,45.703125,324300,1995-01-03
1995-01-04,27.025047302246094,46.0,46.0,45.75,45.984375,351800,1995-01-04
1995-01-05,27.025047302246094,46.0,46.109375,45.953125,46.03125,89800,1995-01-05
1995-01-06,27.05259895324707,46.046875,46.25,45.90625,46.09375,448400,1995-01-06
1995-01-09,27.08013916015625,46.09375,46.09375,46.0,46.03125,36800,1995-01-09
1995-01-10,27.10767936706543,46.140625,46.390625,46.140625,46.203125,229800,1995-01-10
1995-01-11,27.126033782958984,46.171875,46.296875,45.8125,46.296875,222400,1995-01-11
1995-01-12,27.135217666625977,46.1875,46.21875,46.03125,46.125,40300,1995-01-12
1995-01-13,27.45650291442871,46.734375,46.734375,46.375,46.4375,170600,1995-01-13
1995-01-16,27.621747970581055,47.015625,47.03125,46.71875,46.71875,105100,1995-01-16
1995-01-17,27.63093376159668,47.03125,47.0625,46.859375,46.921875,89500,1995-01-17
1995-01-18,27.603370666503906,46.984375,47.078125,46.875,47.0,84500,1995-01-18
1995-01-19,27.44731903076172,46.71875,46.875,46.6875,46.828125,139100,1995-01-19
1995-01-20,27.34634017944336,46.546875,46.671875,46.453125,46.65625,78700,1995-01-20
1995-01-23,27.4289608001709,46.6875,46.6875,46.203125,46.234375,53700,1995-01-23
1995-01-24,27.465681076049805,46.75,46.75,46.640625,46.671875,32400,1995-01-24
1995-01-25,27.53911781311035,46.875,47.046875,46.515625,46.515625,15700,1995-01-25
1995-01-26,27.56667137145996,46.921875,46.984375,46.75,46.84375,9800,1995-01-26
1995-01-27,27.67681121826172,47.109375,47.234375,46.921875,47.234375,91200,1995-01-27
1995-01-30,27.557470321655273,46.90625,47.046875,46.84375,47.015625,26600,1995-01-30
1995-01-31,27.667638778686523,47.09375,47.171875,46.921875,47.0,127500,1995-01-31
1995-02-01,27.6584529876709,47.078125,47.328125,47.0,47.15625,380200,1995-02-01
1995-02-02,27.823698043823242,47.359375,47.359375,47.0625,47.0625,131700,1995-02-02
1995-02-03,28.21841049194336,48.03125,48.109375,47.578125,47.65625,405100,1995-02-03
1995-02-06,28.337759017944336,48.234375,48.375,47.96875,48.015625,405400,1995-02-06
1995-02-07,28.37447166442871,48.296875,48.3125,48.140625,48.3125,702900,1995-02-07
1995-02-08,28.37447166442871,48.296875,48.46875,48.203125,48.234375,521500,1995-02-08
1995-02-09,28.37447166442871,48.296875,48.296875,48.125,48.21875,390700,1995-02-09
1995-02-10,28.41118049621582,48.359375,48.359375,48.09375,48.234375,148300,1995-02-10
1995-02-13,28.420366287231445,48.375,48.46875,48.328125,48.328125,79700,1995-02-13
1995-02-14,28.45708656311035,48.4375,48.53125,48.25,48.53125,170200,1995-02-14
1995-02-15,28.61311912536621,48.703125,48.765625,48.390625,48.4375,431500,1995-02-15
1995-02-16,28.576431274414062,48.640625,48.6875,48.5,48.640625,99300,1995-02-16
1995-02-17,28.466251373291016,48.453125,48.625,48.4375,48.59375,49100,1995-02-17
1995-02-21,28.45708656311035,48.4375,48.53125,48.421875,48.453125,168000,1995-02-21
1995-02-22,28.66822052001953,48.796875,48.796875,48.453125,48.484375,386400,1995-02-22
1995-02-23,28.714120864868164,48.875,49.15625,48.859375,48.984375,402800,1995-02-23
1995-02-24,28.78755760192871,49.0,49.015625,48.8125,48.9375,307600,1995-02-24
1995-02-27,28.55805015563965,48.609375,49.0,48.53125,48.859375,280900,1995-02-27
1995-02-28,28.796737670898438,49.015625,49.015625,48.5625,48.5625,493500,1995-02-28
1995-03-01,28.61311912536621,48.703125,49.03125,48.65625,48.96875,242600,1995-03-01
1995-03-02,28.649869918823242,48.765625,48.765625,48.546875,48.6875,488600,1995-03-02
1995-03-03,28.659038543701172,48.78125,48.78125,48.484375,48.609375,290000,1995-03-03
1995-03-06,28.677404403686523,48.8125,48.8125,48.390625,48.453125,85700,1995-03-06
1995-03-07,28.45708656311035,48.4375,48.75,48.21875,48.640625,180900,1995-03-07
1995-03-08,28.53052520751953,48.5625,48.625,48.34375,48.515625,155900,1995-03-08
1995-03-09,28.521337509155273,48.546875,48.59375,48.421875,48.546875,63500,1995-03-09
1995-03-10,28.943618774414062,49.265625,49.390625,48.53125,48.59375,192100,1995-03-10
1995-03-13,28.91606903076172,49.21875,49.390625,49.171875,49.234375,261300,1995-03-13
1995-03-14,29.127208709716797,49.578125,49.640625,49.359375,49.359375,223300,1995-03-14
1995-03-15,29.072124481201172,49.484375,49.578125,49.296875,49.5,278500,1995-03-15
1995-03-16,29.24652862548828,49.78125,49.8125,49.4375,49.4375,20400,1995-03-16
1995-03-17,29.275625228881836,49.5625,49.625,49.40625,49.4375,89900,1995-03-17
1995-03-20,29.275625228881836,49.5625,49.625,49.46875,49.625,91700,1995-03-20
1995-03-21,29.20180320739746,49.4375,49.875,49.359375,49.5625,104400,1995-03-21
1995-03-22,29.229482650756836,49.484375,49.53125,49.328125,49.53125,74900,1995-03-22
1995-03-23,29.247940063476562,49.515625,49.65625,49.359375,49.421875,220500,1995-03-23
1995-03-24,29.663280487060547,50.21875,50.21875,49.671875,49.671875,134000,1995-03-24
1995-03-27,29.78325653076172,50.421875,50.421875,50.171875,50.296875,132100,1995-03-27
1995-03-28,29.78325653076172,50.421875,50.421875,50.234375,50.296875,121900,1995-03-28
1995-03-29,29.77400779724121,50.40625,50.890625,50.125,50.375,246100,1995-03-29
1995-03-30,29.718650817871094,50.3125,50.515625,50.109375,50.515625,298400,1995-03-30
